0,32
0,46
1,33
1,36
2,12
2,18
2,31
2,44
2,45
2,49
3,4
3,6
3,18
3,20
3,25
3,30
3,36
3,40
4,9
4,24
4,30
4,44
5,9
5,17
5,29
5,32
5,33
5,38
5,39
6,16
6,19
6,25
6,29
6,32
6,34
7,27
7,33
7,36
7,40
7,47
8,21
9,11
9,13
9,43
9,44
9,47
10,43
11,19
11,43
12,15
12,38
13,21
13,43
14,28
15,36
16,28
16,40
17,19
17,25
17,37
17,47
19,22
19,28
19,36
19,39
19,45
20,22
20,24
20,26
20,27
20,29
20,30
20,45
22,49
23,35
23,45
24,36
24,46
25,39
25,40
26,47
27,46
28,47
30,32
30,42
31,34
31,35
31,44
32,33
32,38
32,40
32,42
33,45
34,35
34,36
35,43
37,39
40,47
40,48
42,47
