0,6
0,14
0,15
0,19
0,24
0,32
0,33
0,35
0,38
0,43
1,6
1,12
1,23
1,38
1,40
2,3
2,6
2,7
2,11
2,15
2,16
2,20
2,40
2,46
2,47
3,9
3,10
3,20
3,22
3,25
3,34
3,40
3,45
4,23
4,30
4,38
4,47
5,8
5,17
5,24
5,29
5,34
5,35
5,47
6,7
6,19
6,21
6,26
6,31
6,33
7,18
7,22
7,25
7,26
7,36
7,38
7,39
7,41
7,48
8,15
8,16
8,17
8,21
8,23
8,39
8,42
9,12
9,16
9,17
9,18
9,24
9,25
9,26
9,44
9,46
10,14
10,16
10,21
10,22
10,28
10,29
10,34
10,35
10,36
10,37
11,18
11,26
11,33
11,36
11,43
11,45
12,16
12,20
12,35
12,49
13,16
13,17
13,18
13,26
14,31
14,35
14,44
14,46
14,47
15,27
15,28
15,37
15,40
16,23
16,34
16,35
17,18
17,19
17,21
17,29
17,30
17,35
17,39
17,46
17,49
18,28
18,36
18,43
18,47
18,48
19,28
19,32
19,43
20,21
20,30
20,31
20,40
20,46
20,48
21,23
21,28
21,36
22,27
22,35
22,42
22,48
22,49
23,44
23,49
24,40
24,46
24,49
25,33
25,40
26,27
26,31
26,40
26,46
27,33
27,36
27,40
27,43
27,45
28,29
28,33
28,44
29,31
29,36
29,39
29,43
29,44
29,46
30,36
30,41
30,42
30,47
30,48
31,39
31,43
32,36
32,44
33,34
33,35
33,40
33,46
33,48
34,36
34,37
34,43
34,45
35,38
37,39
37,48
38,42
39,43
40,44
40,45
40,47
41,47
42,46
43,46
43,47
43,49
44,45
48,49
